('number of contigs:', 12080, 'maximum contig lenth:', 4059.0, 'mean:', 182.46995033112583, 'total length of genome assembly:', 2204237.0)
('mean depth of coverage:', 37.03395236291402)
('N_50', 295.0)
('# Contig Length', 'Number of Contigs in this category')
(0, 5810)
(3200, 0)
(900, 0)
(1800, 0)
(3500, 0)
(2700, 0)
(400, 0)
(3800, 0)
(1300, 0)
(2200, 0)
(3100, 0)
(800, 0)
(1700, 0)
(2600, 0)
(300, 0)
(1200, 0)
(3400, 0)
(2100, 0)
(3000, 0)
(3700, 0)
(700, 0)
(1600, 0)
(4000, 0)
(2500, 0)
(200, 0)
(1100, 0)
(2000, 0)
(2900, 0)
(600, 0)
(3300, 0)
(1500, 0)
(2400, 0)
(3600, 0)
(100, 5392)
(1000, 0)
(3900, 0)
(1900, 0)
(2800, 0)
(500, 764)
(1400, 94)
(2300, 20)
